turn,algorithm,hits,originDatabase,originAlgorithm,minTile,maxTile,minBoardValue,maxBoardValue,sumBoardValue,minBoardScore,maxBoardScore,sumBoardScore
12,treeDb_firstlastmaxtile,53070,43339,9731,2,32,24,48,1634646,24,108,2521996
12,treeDb_firstlastprogress,52961,42218,10743,2,16,24,48,1631046,24,80,2442952
12,treeDb_followMaxTile,53071,43292,9779,2,32,24,48,1634654,24,108,2518292
12,treeDb_followProgress,52983,42038,10945,2,32,24,48,1631562,24,104,2438156
12,treeDb_last,53072,41854,11218,2,16,24,48,1634692,20,80,2517188
13,all,317814,252843,64971,2,32,26,52,10487252,28,116,17056376
13,treeDb_first,53037,41634,11403,2,32,26,52,1750120,28,116,2871256
13,treeDb_firstlastmaxtile,53030,43097,9933,2,32,26,52,1750072,28,112,2869848
13,treeDb_firstlastprogress,52825,41667,11158,2,16,26,52,1743060,28,84,2789012
13,treeDb_followMaxTile,53040,43056,9984,2,32,26,52,1750412,28,116,2869096
13,treeDb_followProgress,52838,41762,11076,2,32,26,52,1743130,28,112,2785772
13,treeDb_last,53044,41627,11417,2,32,26,52,1750458,28,116,2871392
14,all,317325,241446,75879,2,32,28,56,11169210,32,124,18919804
14,treeDb_first,52995,39793,13202,2,32,28,56,1865190,32,120,3182280
14,treeDb_firstlastmaxtile,52990,41341,11649,2,32,28,56,1865502,32,124,3179332
14,treeDb_firstlastprogress,52672,39623,13049,2,32,28,56,1853842,32,116,3101444
14,treeDb_followMaxTile,52996,41299,11697,2,32,28,56,1865638,32,120,3179852
14,treeDb_followProgress,52670,39729,12941,2,32,28,56,1853504,32,120,3096560
14,treeDb_last,53002,39661,13341,2,32,28,56,1865534,32,120,3180336
15,all,316894,235010,81884,2,32,30,60,11851908,36,128,20578996
15,treeDb_first,52945,38651,14294,2,32,30,60,1979952,36,128,3458984
15,treeDb_firstlastmaxtile,52950,40352,12598,2,32,30,60,1980598,36,128,3457832
15,treeDb_firstlastprogress,52544,38388,14156,2,32,30,60,1964966,36,124,3375048
15,treeDb_followMaxTile,52954,40416,12538,2,32,30,60,1980808,36,124,3458720
15,treeDb_followProgress,52552,38643,13909,2,32,30,60,1965130,36,124,3370904
15,treeDb_last,52949,38560,14389,2,32,30,60,1980454,36,124,3457508
16,all,316473,232458,84015,2,32,32,64,12531506,44,132,22292516
16,treeDb_first,52897,38275,14622,2,32,32,64,2094310,44,132,3745620
16,treeDb_firstlastmaxtile,52897,40107,12790,2,32,32,64,2094748,44,132,3747080
16,treeDb_firstlastprogress,52435,38110,14325,2,32,32,64,2075874,44,128,3651936
16,treeDb_followMaxTile,52900,39938,12962,2,32,32,64,2095144,44,132,3750448
16,treeDb_followProgress,52446,38036,14410,2,32,32,64,2076448,44,128,3649180
16,treeDb_last,52898,37992,14906,2,32,32,64,2094982,44,132,3748252
17,all,315764,227877,87887,2,32,34,68,13196188,48,148,24206776
17,treeDb_first,52803,37396,15407,2,32,34,68,2206624,48,144,4072660
17,treeDb_firstlastmaxtile,52802,39429,13373,2,32,34,68,2207046,48,136,4077184
17,treeDb_firstlastprogress,52262,37253,15009,2,32,34,68,2183416,48,132,3952172
17,treeDb_followMaxTile,52808,39330,13478,2,32,34,68,2207170,48,148,4079972
17,treeDb_followProgress,52292,36978,15314,2,32,34,68,2184768,48,136,3950344
17,treeDb_last,52797,37491,15306,2,32,34,68,2207164,48,136,4074444
18,all,314655,216719,97936,2,32,36,72,13839512,52,148,26382136
18,treeDb_first,52668,35463,17205,2,32,36,72,2316516,52,148,4448760
18,treeDb_firstlastmaxtile,52630,37523,15107,2,32,36,72,2315276,52,148,4455164
18,treeDb_firstlastprogress,52002,35449,16553,2,32,36,72,2286556,52,148,4285820
18,treeDb_followMaxTile,52657,37571,15086,2,32,36,72,2316288,52,148,4462980
18,treeDb_followProgress,52038,35296,16742,2,32,36,72,2288014,52,140,4280364
18,treeDb_last,52660,35417,17243,2,32,36,72,2316862,52,140,4449048
19,all,313017,209479,103538,2,32,38,76,14453376,56,160,28813380
19,treeDb_first,52464,34038,18426,2,32,38,76,2422724,60,156,4865888
19,treeDb_firstlastmaxtile,52378,36366,16012,2,32,38,76,2418918,60,156,4882456
19,treeDb_firstlastprogress,51667,34177,17490,2,32,38,76,2384758,60,152,4658012
19,treeDb_followMaxTile,52381,36593,15788,2,32,38,76,2419156,60,156,4892080
19,treeDb_followProgress,51695,34249,17446,2,32,38,76,2386226,56,156,4650508
19,treeDb_last,52432,34056,18376,2,32,38,76,2421594,60,160,4864436
20,all,310991,203159,107832,2,32,40,80,15040580,64,164,31512596
20,treeDb_first,52159,33108,19051,2,32,40,80,2522772,64,160,5325372
20,treeDb_firstlastmaxtile,52068,35472,16596,2,32,40,80,2518582,64,164,5351300
20,treeDb_firstlastprogress,51253,33054,18199,2,32,40,80,2477574,64,160,5076428
20,treeDb_followMaxTile,52073,35288,16785,2,32,40,80,2519284,64,160,5363708
20,treeDb_followProgress,51279,33090,18189,2,32,40,80,2479088,64,156,5072632
20,treeDb_last,52159,33147,19012,2,32,40,80,2523280,64,160,5323156
21,all,308381,198442,109939,2,32,42,84,15590760,68,168,34326288
21,treeDb_first,51771,32266,19505,2,32,42,84,2617718,68,164,5797328
21,treeDb_firstlastmaxtile,51687,34888,16799,2,32,42,84,2613552,68,164,5832272
21,treeDb_firstlastprogress,50730,32025,18705,2,32,42,84,2563162,72,164,5532916
21,treeDb_followMaxTile,51675,34868,16807,2,32,42,84,2613576,72,168,5843928
21,treeDb_followProgress,50745,31963,18782,2,32,42,84,2564336,68,164,5525508
21,treeDb_last,51773,32432,19341,2,32,42,84,2618416,72,168,5794336
22,all,305577,192662,112915,2,32,44,88,16118942,76,172,37059656
22,treeDb_first,51389,31540,19849,2,32,44,88,2711024,76,172,6261340
22,treeDb_firstlastmaxtile,51277,34147,17130,2,32,44,88,2705594,76,168,6297428
22,treeDb_firstlastprogress,50132,30755,19377,2,32,44,88,2642670,76,172,5969960
22,treeDb_followMaxTile,51274,34052,17222,2,32,44,88,2706040,84,168,6309868
22,treeDb_followProgress,50126,30747,19379,2,32,44,88,2642124,76,168,5958404
22,treeDb_last,51379,31421,19958,2,32,44,88,2711490,80,172,6262656
23,all,302631,188758,113873,2,32,46,92,16627344,88,176,39583132
23,treeDb_first,50961,30739,20222,2,32,46,92,2800184,92,176,6698156
23,treeDb_firstlastmaxtile,50897,33721,17176,2,32,46,92,2797076,92,176,6739856
23,treeDb_firstlastprogress,49450,29816,19634,2,32,46,92,2714864,88,172,6351792
23,treeDb_followMaxTile,50894,33719,17175,2,32,46,92,2797930,88,176,6746112
23,treeDb_followProgress,49464,29801,19663,2,32,46,92,2715860,92,172,6345928
23,treeDb_last,50965,30962,20003,2,32,46,92,2801430,92,176,6701288
24,all,299362,185691,113671,2,32,48,96,17102884,96,192,41832464
